Account,date,daily_pnl,win_rate,trades_per_day,avg_trade_size,total_volume,long_ratio,sentiment,value,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,0.025974025974025976,462,14810.891818181817,6842632.02,0.3008658008658009,Greed,74.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,0.40554231227651966,3356,16345.241939809297,54854631.95,0.4684147794994041,Fear,44.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,0.53125,320,2492.74990625,797679.97,0.453125,Greed,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,0.43504104160769885,3533,1693.3516841211435,5982611.5,0.4324936314746674,Fear,44.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,0.0,5,6070.2,30351.0,0.4,Greed,50.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,0.8,5,31941.660000000003,159708.30000000002,0.6,Greed,74.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,0.43045774647887325,1136,10836.90096830986,12310719.5,0.4454225352112676,Fear,44.0,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,0.4437577255871446,6472,483.5901143386898,3129795.22,0.476823238566131,Greed,74.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,0.4327347659699735,6794,533.2378127759788,3622817.7,0.5307624374448042,Fear,44.0,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,0.4744429882044561,763,2941.8256880733943,2244613.0,0.399737876802097,Greed,74.0,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,0.5337919870497774,2471,3205.000631323351,7919556.5600000005,0.3528935653581546,Fear,44.0,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,0.0,3,159.0,477.0,1.0,Greed,59.0,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,0.0,2,23066.935,46133.87,1.0,Greed,69.0,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,0.3333333333333333,27,3048.5944444444444,82312.05,0.14814814814814814,Greed,84.0,Extreme Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,0.1,80,767.24775,61379.82,0.4375,Greed,50.0,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,0.46794871794871795,156,2583.170064102564,402974.52999999997,0.41025641025641024,Greed,74.0,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,0.2636103151862464,349,1648.5575358166188,575346.58,0.18911174785100288,Fear,44.0,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,0.5277777777777778,144,4554.800138888889,655891.22,0.4097222222222222,Greed,74.0,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,0.3193033381712627,3445,4800.430827285922,16537484.2,0.4612481857764877,Fear,44.0,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,0.41361256544502617,191,2786.4265445026176,532207.47,0.5863874345549738,Greed,74.0,Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,0.5602836879432624,141,4338.219787234042,611688.99,0.41134751773049644,Fear,44.0,Fear
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,0.216,125,6480.62816,810078.52,0.144,Greed,74.0,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,0.2441860465116279,258,4563.756162790698,1177449.09,0.32170542635658916,Fear,44.0,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,0.0,88,1136.3127272727272,99995.52,1.0,Greed,84.0,Extreme Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,0.9518072289156626,249,1759.9534939759035,438228.42,0.012048192771084338,Greed,50.0,Neutral
